9;eshop;099935390;0;
20;multirama;094016869;0;
47;domains24;099057539;0;
100;mr. print-ι.βασιλακης-π.κοτσαριδης ο.ε;998444105;0;
102;gmax666 ebay seller;gmax666;0;
109;3ix;3ix;0;
114;trusted-goods-ebay;trust-ds;0;
128;goodbudget-ebay seller;goodbudg;0;
129;sales d.e edwards ebay seller;salesf;0;
130;chinavasion whole sales site;chinavasi;0;
152;sell-trade-ebay;selltrad;0;
189;telecom-world;telecom-w;0;
217;hetzner online ag;812871812;0;
234;anthony spencer ebay seller;anthony81;0;
237;chonghing ebay seller;chonghing;0;
247;envazone ebay seller;elvazo;0;
296;πεδιαδιτάκη ευαγγελία-φωτογραφικά;103529868;0;
297;καρπαθιωτάκης νικόλαος-ξηροί καρποί;103816857;0;
317;google;google;0;
318;microcom_ebay_seller;microcom;0;
1;δεη;090000045;1;
7;δευαη;090030037;1;
8;οτε;094019245;1;
68;cosmote;094493766;1;
76;forthnet;094444827;1;
77;vodafone;094349850;1;
188;skype;skype;1;
190;orange uk;771592016;1;
224;cpplus;884252504;1;
230;cyta;998646157;1;
23;office depot;075142499;2;
37;αγριμακη βασιλικη-βιβλιοπωλειο;103660975;2;
60;παπασωτηρίου βιβλιοπωλείο;094397477;2;
116;amazon;998770297;2;
158;δονταδάκης αντώνιος-βιβλιοπωλείο;013750008;2;
215;lovebagsuk;lovebagsu;2;
236;κύβος βιβλιοπωλείο;015947962;2;
256;czxwyst ebay seller;czxwyst;2;
257;pilotfish pens;822108467;2;
259;davecowling ebay seller;davecowl;2;
260;griffisp-ebay-seller;griffisp;2;
261;crissa1982-ebay-seller;crissa;2;
262;tinxi-style-ebay-seller;tinxi;2;
263;keech hospice charity-ebay seller;keech;2;
264;onibury-ebay-seller;onibury;2;
265;stoneybrokey-ebay-seller;stoneybro;2;
266;soisjack-ebay seller;soisjack;2;
269;racingshandy-ebay-seller;racingsha;2;
274;currycurrys-ebay seller;curry;2;
275;inshaallah-ebay-seller;inshaalla;2;
279;ssquare_boutique ebay seller;ssquarebo;2;
292;jojoandyou ebay seller;jojoandyo;2;
295;νάθενας-αγγέλου οε βιβλιοπωλείο ελευθερουδάκη;998637310;2;
310;fountain pen revolution;fpr;2;
10;dia;998163111;4;
11;lidl;093683423;4;
14;carfourre;999842977;4;
15;ελευθεριαδη βιβλιοπωλειο;044807390;4;
26;makro;094241249;4;
28;τσαπακης παντοπωλειο;072683692;4;
45;αποστολακη ελεονωρα-παντοπωλειο;040482955;4;
48;alex pak;094231385;4;
56;εμμ ξυλουρης οε-τυροκομικα;998294018;4;
82;μπουλουκος super market μπουλουκακης ιωαννης αεε;999361358;4;
103;ψυλλακη αθηνα, κυλικειο βενιζέλειο;047643900;4;
106;praktiker;094317955;4;
111;χαλκιαδάκης σουπερμάρκετ;094113461;4;
118;π.γ καγιάμης & σια ο.ε;081583144;4;
122;κουτουλακης εμμανουηλ-σουπερμαρκετ-αρχανες;110709950;4;
125;συγλέτος εμμ & ειρήνη σουπερμαρκετ;082410311;4;
136;νικηφόρος μιχαήλ-ψιλικά;037789690;4;
151;αριάδνη σουπερ μαρκετ;998865815;4;
153;απλαδά αριστέα σουπερ μάρκετ;047622387;4;
157;α.αναγνώστου και σια ε.ε σουπερμάρκετ;093544724;4;
167;τραντας περίπτερο;103819640;4;
168;περίπτερο τσαλίχης κωνσταντίνος;125587385;4;
178;μινι μάρκετ-κουτσουνάρι;045249175;4;
194;καστελάκη-εμπόριο τροφίμων;076662257;4;
195;πετράκης μίνι μάρκετ;103506751;4;
196;νικολαιδης λουκας-περιπτερο αεροδρομιο;032990140;4;
198;whsmith retail (gatwick airport);238554836;4;
200;waitrose supermarket (warwick);685417211;4;
206;sainburys;660454836;4;
208;millies cookies-marks & spencer;884257978;4;
211;morrisons supermarket;343475355;4;
213;α/β βασιλόπουλος;094025817;4;
226;εας ηρακλείου σουπερμάρκετ;096000197;4;
277;καστελιανός εμμανουήλ εμπόριο τροφίμων-λαχανικών;07662257;4;
35;houseland-εργαλεια;047622431;6;
52;καλαιτζακη-κουρτινοξυλα;046118740;6;
91;κοτσιφος ιωαννης-καθρεπτες-κρυσταλλα;039826730;6;
97;σεβαστάκη ουρανία και σια ε.ε-σιδηρικά;093544005;6;
119;γιώργος κορναράκης-ραπτομηχανές;027177420;6;
126;cosmos center-κ. σκουτελης & σια ο.ε;998293741;6;
